Time(s),Temp(C),Left,Center,Right
0.0,35.998,0.15969,0.26879,0.37167
2.184,35.999,0.15979,0.2688,0.37198
4.543,36.005,0.16012,0.26847,0.37124
6.727,36.044,0.15939,0.26836,0.37098
8.988,36.134,0.15981,0.26851,0.3714
11.176,36.283,0.15995,0.26843,0.37121
13.434,36.521,0.15943,0.26895,0.37174
15.621,36.825,0.15952,0.26861,0.37124
17.879,37.229,0.15914,0.26813,0.37094
20.18,37.725,0.1595,0.26879,0.37127
22.441,38.299,0.15956,0.26849,0.37128
24.625,38.904,0.15945,0.26869,0.3716
26.887,39.604,0.15943,0.26877,0.37152
29.07,40.298,0.15934,0.26864,0.37135
31.336,41.069,0.15903,0.2686,0.37172
33.52,41.811,0.15915,0.2689,0.37186
35.789,42.608,0.1592,0.26866,0.37177
37.977,43.353,0.15864,0.26883,0.37188
40.336,44.135,0.15881,0.26894,0.372
42.52,44.898,0.1583,0.26895,0.37164
44.781,45.602,0.15798,0.26848,0.3714
46.969,46.321,0.15772,0.26823,0.37125
49.23,46.978,0.15765,0.26884,0.37215
51.434,47.654,0.15725,0.26899,0.37222
53.785,48.304,0.15686,0.26859,0.37168
55.969,48.895,0.15668,0.26809,0.37182
58.234,49.512,0.15614,0.26815,0.37153
60.426,50.08,0.156,0.26844,0.37147
62.68,50.668,0.15552,0.26789,0.37156
64.863,51.215,0.15528,0.26831,0.37153
67.125,51.791,0.15467,0.26791,0.37158
69.316,52.328,0.15436,0.26807,0.37175
71.68,52.934,0.15318,0.2678,0.37142
73.871,53.47,0.15265,0.26775,0.37172
76.238,54.037,0.15162,0.26774,0.37151
78.418,54.606,0.15094,0.2679,0.37192
80.68,55.144,0.15031,0.26795,0.37198
82.98,55.72,0.15029,0.26747,0.3718
85.238,56.296,0.15029,0.26784,0.37161
87.426,56.84,0.15002,0.2675,0.37155
89.691,57.418,0.1502,0.26747,0.37187
91.871,57.969,0.14965,0.26727,0.37153
94.137,58.552,0.1504,0.26747,0.37206
96.32,59.103,0.15042,0.2673,0.37197
98.582,59.689,0.15038,0.26733,0.37177
100.766,60.242,0.14956,0.26737,0.37184
103.031,60.829,0.14927,0.26721,0.3721
105.215,61.381,0.14945,0.26737,0.37186
107.477,61.962,0.14906,0.26716,0.37184
109.66,62.51,0.14818,0.26723,0.37205
111.93,63.092,0.14252,0.26635,0.37173
114.117,63.637,0.13621,0.26662,0.37197
116.477,64.214,0.1167,0.26667,0.3718
118.77,64.795,0.10268,0.26648,0.37189
121.035,65.374,0.09316,0.26661,0.37186
123.223,65.917,0.08899,0.26639,0.37187
125.48,66.498,0.08167,0.26642,0.37193
127.664,67.041,0.07319,0.26604,0.37148
129.926,67.62,0.06609,0.26597,0.37216
132.117,68.163,0.06033,0.26587,0.37213
134.375,68.737,0.05608,0.26593,0.3722
136.563,69.277,0.05269,0.26618,0.37214
138.824,69.85,0.05137,0.26601,0.37224
141.004,70.392,0.05148,0.26593,0.37241
143.27,70.97,0.05146,0.2662,0.37257
145.457,71.515,0.05134,0.26601,0.37271
147.715,72.096,0.05149,0.26595,0.37219
149.906,72.639,0.05144,0.26528,0.37206
152.164,73.217,0.05157,0.26554,0.37251
154.352,73.756,0.05145,0.26569,0.37231
156.613,74.328,0.05145,0.26492,0.37196
158.797,74.866,0.05143,0.26473,0.37165
161.063,75.436,0.05128,0.26462,0.37139
163.246,75.981,0.0518,0.26472,0.37233
165.512,76.553,0.05167,0.26467,0.37161
167.695,77.095,0.05157,0.2643,0.37124
170.063,77.669,0.05201,0.26433,0.37177
172.246,78.244,0.05166,0.26411,0.37176
174.512,78.785,0.05141,0.26365,0.37101
176.691,79.359,0.05172,0.26367,0.37142
178.953,79.899,0.0517,0.26369,0.371
181.25,80.471,0.05131,0.26302,0.37055
183.512,81.044,0.05129,0.26306,0.37087
185.695,81.585,0.05136,0.26261,0.37098
187.957,82.162,0.0517,0.26282,0.3709
190.148,82.704,0.05163,0.26284,0.3707
192.402,83.278,0.05177,0.26247,0.37085
194.594,83.82,0.05158,0.26194,0.3702
196.852,84.39,0.05178,0.26201,0.37038
199.051,84.935,0.05208,0.2622,0.37077
201.406,85.541,0.05203,0.26167,0.37081
203.598,86.082,0.05241,0.26117,0.37054
205.875,86.658,0.05255,0.26008,0.3704
208.043,87.198,0.0525,0.25958,0.37025
210.301,87.743,0.05257,0.2587,0.37045
212.492,88.319,0.05297,0.25727,0.37026
214.75,88.857,0.05268,0.25409,0.37025
216.938,89.428,0.0531,0.24979,0.3703
219.199,89.972,0.05316,0.2427,0.36947
221.383,90.547,0.05337,0.22827,0.36977
223.645,91.091,0.05375,0.20597,0.36955
225.832,91.665,0.05372,0.18733,0.36943
228.094,92.206,0.0538,0.16021,0.36926
230.277,92.742,0.0538,0.15051,0.36949
232.539,93.313,0.05371,0.14334,0.36905
234.727,93.852,0.05388,0.1363,0.36928
237.094,94.459,0.0538,0.12226,0.36921
239.277,95.003,0.054,0.10968,0.36866
241.543,95.574,0.05387,0.0935,0.36864
243.727,96.119,0.05408,0.08236,0.36849
245.988,96.699,0.05391,0.07059,0.36798
248.172,97.239,0.05432,0.06326,0.36806
250.438,97.814,0.0543,0.05296,0.36802
252.629,98.356,0.05433,0.04818,0.36815
254.988,98.933,0.05455,0.04616,0.36791
257.18,99.504,0.0547,0.04575,0.36775
259.438,100.045,0.05504,0.04563,0.36772
261.621,100.622,0.05521,0.04476,0.36743
263.883,101.163,0.05521,0.0443,0.36707
266.18,101.74,0.05562,0.04458,0.36761
268.438,102.317,0.05586,0.04468,0.36808
270.629,102.855,0.05602,0.04439,0.36813
272.887,103.432,0.05628,0.04406,0.36808
275.074,103.971,0.05634,0.04387,0.36801
277.336,104.544,0.0565,0.04359,0.36798
279.523,105.083,0.05616,0.0428,0.36708
281.785,105.653,0.05667,0.04296,0.3678
283.969,106.193,0.05678,0.04289,0.36822
286.23,106.768,0.05692,0.04263,0.36835
288.418,107.307,0.05709,0.04218,0.36769
290.676,107.879,0.05691,0.042,0.36818
292.863,108.421,0.05724,0.04197,0.36779
295.125,108.996,0.05728,0.04131,0.36723
297.313,109.535,0.05742,0.04086,0.36675
299.57,110.105,0.05787,0.04081,0.36672
301.77,110.647,0.05825,0.0408,0.36728
304.125,111.215,0.05865,0.04073,0.36713
306.313,111.794,0.05884,0.04074,0.36709
308.574,112.334,0.05879,0.04053,0.36703
310.758,112.91,0.05895,0.0402,0.36657
313.023,113.451,0.05897,0.04044,0.36705
315.203,114.024,0.05906,0.04041,0.36669
317.469,114.568,0.05914,0.04019,0.36639
319.652,115.106,0.05912,0.03985,0.36637
